Brand,Name,Price,Processor_Name,Processor_Brand,RAM_Expandable,RAM,RAM_TYPE,Ghz,Display_type,Display,GPU,GPU_Brand,SSD,HDD,Adapter,Battery_Life,Name_Clean,RAM_GB,RAM_Expandable_GB,Display_Size,SSD_GB,HDD_GB,Storage_GB,Adapter_W,GPU_VRAM_GB,CPU_Tier,CPU_Gen,Battery_Hours,Battery_Imputed,Price_Bin,Has_Dedicated_GPU,CPU_Score,GPU_Score,Portability_Score,RAM_Score,Storage_Score,Programming_Score,AI_Development_Score,Gaming_Score,Video_Editing_Score,Budget_Score,Battery_Score,Office_Student_Score,Overall_Rating
Lenovo,Lenovo Ideapad 3 15ITL6 (82H801L7IN) Laptop (15.6 Inch | Core i3 11th Gen | 8 GB | Windows 11 | 512 GB SSD)::594573::computer::laptops,116616,Intel Core i3 (11th Gen),Intel, 12 GB Expandable,8 GB ,DDR4 RAM,4.0,LCD,15.6 ,UHD,Intel,512 GB SSD Storage,No HDD,45, Upto 12 Hrs Battery Life,Lenovo Ideapad 3 15ITL6 (82H801L7IN) Laptop (15.6 Inch | Core i3 11th Gen | 8 GB | Windows 11 | 512 GB SSD),8,12,15.6,512,0,512,45.0,0,Entry Level,11th Gen,12.0,0,Budget,0,42.5,12.0,36.8,25.0,50.0,37.0,22.6,21.2,31.2,74.6,80.0,65.4,40.3
HP,HP 14s-fy1005AU (6Y6R8PA) Laptop (14 Inch | AMD Octa Core Ryzen 7 | 16 GB | Windows 11 | 512 GB SSD)::596972::computer::laptops,209806,AMD Octa-Core Ryzen 7,Amd,Not Expandable,16 GB ,DDR4 RAM,4.2,LCD,14 ,Radeon,AMD,512 GB SSD Storage,No HDD,65,65W Adapter,HP 14s-fy1005AU (6Y6R8PA) Laptop (14 Inch | AMD Octa Core Ryzen 7 | 16 GB | Windows 11 | 512 GB SSD),16,0,14.0,512,0,512,65.0,0,High End,Modern Series,9.25,1,High,0,83.5,22.0,62.1,50.0,50.0,63.4,35.0,40.4,38.4,54.3,61.7,59.6,61.2
Lenovo,Lenovo Ideapad Slim 3 15ITL6 (82H803LKIN) Laptop (15.6 Inch | Core i5 11th Gen | 16 GB | Windows 11 | 512 GB SSD)::615418::computer::laptops,141006,Intel Core i5 (11th Gen),Intel, 16 GB Expandable,16 GB ,DDR4 RAM,2.5,LCD,15.6 ,Iris Xe,Intel,512 GB SSD Storage,No HDD,no,Upto 7 Hrs Battery Life,Lenovo Ideapad Slim 3 15ITL6 (82H803LKIN) Laptop (15.6 Inch | Core i5 11th Gen | 16 GB | Windows 11 | 512 GB SSD),16,16,15.6,512,0,512,65.0,0,Mid Range,11th Gen,7.0,0,Mid,0,55.0,25.0,36.8,50.0,50.0,52.0,35.0,34.0,43.2,69.3,46.7,50.5,45.4
Xiaomi,Xiaomi RedmiBook 15 e-Learning Edition Laptop (15.6 Inch | Core i3 11th Gen | 8 GB | Windows 10 | 256 GB SSD)::587679::computer::laptops,108326,Intel Core i3 (11th Gen),Intel, 8 GB Expandable,8 GB ,DDR4 RAM,3.0,LED,15.6 ,UHD,Intel,256 GB SSD Storage,No HDD,65, Upto 10 Hrs Battery Life,Xiaomi RedmiBook 15 e-Learning Edition Laptop (15.6 Inch | Core i3 11th Gen | 8 GB | Windows 10 | 256 GB SSD),8,8,15.6,256,0,256,65.0,0,Entry Level,11th Gen,10.0,0,Budget,0,37.5,12.0,36.8,25.0,25.0,30.0,21.6,19.6,26.2,76.4,66.7,60.6,36.7
Lenovo,Lenovo Ideapad Slim 5 14IMH9 (83DA0049IN) Laptop (14 Inch | Core Ultra 5 | 16 GB | Windows 11 | 1 TB SSD)::616284::computer::laptops,278606,Intel Core Ultra 5,Intel, 16 GB Expandable,16 GB LP,LPDDR5X RAM,4.2,LED,14 ,Arc,Intel,1024 GB SSD Storage,No HDD,no,Upto 5 Hrs Battery Life,Lenovo Ideapad Slim 5 14IMH9 (83DA0049IN) Laptop (14 Inch | Core Ultra 5 | 16 GB | Windows 11 | 1 TB SSD),16,16,14.0,1024,0,1024,65.0,0,Mid Range,Standard,5.0,0,High,0,63.5,28.0,62.1,50.0,100.0,65.4,42.8,38.6,50.5,39.3,33.3,43.7,54.3
Lenovo,Lenovo Ideapad Gaming 3 15IHU6 (82K101GSIN) Laptop (15.6 Inch | Core i5 11th Gen | 8 GB | Windows 11 | 512 GB SSD)::599086::computer::laptops,175406,Intel Core i5 (11th Gen),Intel,Not Expandable,8 GB ,DDR4 RAM,2.5,LCD,15.6 ,"GeForce GTX 1650 GPU, 4 GB",NVIDIA,512 GB SSD Storage,No HDD,135, Upto 8 Hrs Battery Life,Lenovo Ideapad Gaming 3 15IHU6 (82K101GSIN) Laptop (15.6 Inch | Core i5 11th Gen | 8 GB | Windows 11 | 512 GB SSD),8,0,15.6,512,0,512,135.0,4,Mid Range,11th Gen,8.0,0,Mid,1,55.0,43.0,36.8,25.0,50.0,42.0,39.1,46.6,42.0,61.8,53.3,50.9,46.2
ASUS,ASUS TUF Gaming F17 FX706HF-HX018W Laptop (17.3 Inch | Core i5 11th Gen | 8 GB | Windows 11 | 512 GB SSD)::611247::computer::laptops,199486,Intel Core i5 (11th Gen),Intel, 32 GB Expandable,8 GB ,DDR4 RAM,2.7,LCD,17.3 ,"GeForce RTX 2050 GPU, 4 GB",NVIDIA,512 GB SSD Storage,No HDD,150,150W Adapter,ASUS TUF Gaming F17 FX706HF-HX018W Laptop (17.3 Inch | Core i5 11th Gen | 8 GB | Windows 11 | 512 GB SSD),8,32,17.3,512,0,512,150.0,4,Mid Range,11th Gen,6.0,1,Mid,1,56.0,48.0,10.0,25.0,50.0,42.4,41.6,50.4,47.8,56.5,40.0,36.0,38.9
HP,HP 14s- dq3032tu (637S3PA) Laptop (14 Inch | Celeron Dual Core | 8 GB | Windows 11 | 256 GB SSD)::594568::computer::laptops,87545,Intel Celeron Dual-Core,Intel,Not Expandable,8 GB ,DDR4 RAM,2.8,LCD,14 ,UHD,Intel,256 GB SSD Storage,No HDD,41, Upto 12 Hrs Battery Life,HP 14s- dq3032tu (637S3PA) Laptop (14 Inch | Celeron Dual Core | 8 GB | Windows 11 | 256 GB SSD),8,0,14.0,256,0,256,41.0,0,Budget,Standard,12.0,0,Budget,0,16.5,12.0,62.1,25.0,25.0,21.6,17.4,13.3,22.4,80.9,80.0,74.9,37.6
HP,HP 15-fc0026AU (7L030PA) Laptop (15.6 Inch | AMD Quad Core Ryzen 3 | 8 GB | Windows 11 | 512 GB SSD)::611471::computer::laptops,127246,AMD Quad-Core Ryzen 3,Amd,Not Expandable,8 GB LP,LPDDR5 RAM,2.4,LCD,15.6 ,Radeon,AMD,512 GB SSD Storage,No HDD,no,,HP 15-fc0026AU (7L030PA) Laptop (15.6 Inch | AMD Quad Core Ryzen 3 | 8 GB | Windows 11 | 512 GB SSD),8,0,15.6,512,0,512,45.0,0,Entry Level,Modern Series,6.5,1,Budget,0,34.5,22.0,36.8,25.0,50.0,33.8,25.5,25.8,34.7,72.3,43.3,50.1,36.1
Lenovo,Lenovo Ideapad 3 CB 11IGL05 (82BA001PHA) Laptop (11.6 Inch | Celeron Dual Core | 4 GB | Google Chrome | 64 GB SSD)::592198::computer::laptops,65357,Intel Celeron Dual-Core,Intel,Not Expandable,4 GB LP,LPDDR4 RAM,2.8,LED,11.6 ,UHD,Intel,64 GB SSD Storage,No HDD,no,Upto 10 Hrs Battery Life,Lenovo Ideapad 3 CB 11IGL05 (82BA001PHA) Laptop (11.6 Inch | Celeron Dual Core | 4 GB | Google Chrome | 64 GB SSD),4,0,11.6,64,0,64,45.0,0,Budget,Standard,10.0,0,Budget,0,16.5,12.0,100.0,12.5,6.2,12.8,13.1,13.3,9.2,85.8,66.7,82.4,45.0
